iteration,iteration_time,forward_time,backward_time
0,0.1175120830303058,0.03802808409091085,0.07941895804833621
1,0.045610458008013666,0.011866707936860621,0.033014707965776324
2,0.04494370799511671,0.012061499990522861,0.03167179203592241
3,0.04290175007190555,0.011798082967288792,0.03022125002462417
4,0.04752262507099658,0.01350666698999703,0.03261729096993804
5,0.04366058297455311,0.011444957926869392,0.03147512499708682
6,0.04536095797084272,0.011938957963138819,0.03271316702011973
7,0.044789417064748704,0.012386042042635381,0.031083208974450827
8,0.0448710419004783,0.012592333951033652,0.031293374951928854
9,0.04793341597542167,0.016314624925144017,0.03032620798330754
